,Cezanne,Degas,Gauguin,Hassam,Matisse,Monet,Pissarro,Renoir,Sargent,VanGogh,accuracy,macro avg,weighted avg
precision,0.2777777777777778,0.3829787234042553,0.3081395348837209,0.3076923076923077,0.25396825396825395,0.30701754385964913,0.36585365853658536,0.6470588235294118,0.33858267716535434,0.2987012987012987,0.3242424242424242,0.3487770599518615,0.3487770599518615
recall,0.15151515151515152,0.18181818181818182,0.5353535353535354,0.12121212121212122,0.32323232323232326,0.35353535353535354,0.45454545454545453,0.2222222222222222,0.43434343434343436,0.46464646464646464,0.3242424242424242,0.3242424242424242,0.3242424242424242
f1-score,0.19607843137254904,0.24657534246575344,0.39114391143911437,0.17391304347826086,0.28444444444444444,0.3286384976525822,0.40540540540540543,0.3308270676691729,0.38053097345132747,0.3636363636363636,0.3242424242424242,0.3101193481014974,0.3101193481014974
support,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.3242424242424242,990.0,990.0
