,Cezanne,Degas,Gauguin,Hassam,Matisse,Monet,Pissarro,Renoir,Sargent,VanGogh,accuracy,macro avg,weighted avg
precision,0.2421875,0.3389830508474576,0.3387096774193548,0.30357142857142855,0.34545454545454546,0.3228346456692913,0.3898305084745763,0.45454545454545453,0.4166666666666667,0.25405405405405407,0.32626262626262625,0.34068375317028293,0.340683753170283
recall,0.31313131313131315,0.20202020202020202,0.42424242424242425,0.1717171717171717,0.1919191919191919,0.41414141414141414,0.46464646464646464,0.30303030303030304,0.30303030303030304,0.47474747474747475,0.32626262626262625,0.3262626262626263,0.32626262626262625
f1-score,0.27312775330396477,0.25316455696202533,0.37668161434977576,0.2193548387096774,0.24675324675324672,0.3628318584070796,0.42396313364055305,0.36363636363636365,0.3508771929824562,0.33098591549295775,0.32626262626262625,0.32013764742381,0.32013764742381
support,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.32626262626262625,990.0,990.0
