,Cezanne,Degas,Gauguin,Hassam,Matisse,Monet,Pissarro,Renoir,Sargent,VanGogh,accuracy,macro avg,weighted avg
precision,0.3037974683544304,0.32954545454545453,0.3392857142857143,0.27586206896551724,0.4473684210526316,0.2882882882882883,0.3541666666666667,0.5238095238095238,0.44594594594594594,0.27319587628865977,0.3373737373737374,0.3581265428202833,0.3581265428202833
recall,0.24242424242424243,0.29292929292929293,0.3838383838383838,0.24242424242424243,0.1717171717171717,0.32323232323232326,0.5151515151515151,0.3333333333333333,0.3333333333333333,0.5353535353535354,0.3373737373737374,0.33737373737373744,0.3373737373737374
f1-score,0.2696629213483146,0.31016042780748665,0.36018957345971564,0.2580645161290323,0.24817518248175183,0.3047619047619048,0.41975308641975306,0.40740740740740733,0.3815028901734103,0.3617747440273037,0.3373737373737374,0.33214526540160805,0.33214526540160805
support,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.3373737373737374,990.0,990.0
