,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9651741293532339,0.926530612244898,0.9072164948453608,0.8959276018099548,0.9028571428571428,0.8727272727272727,0.949438202247191,0.9310344827586207,0.8864864864864865,0.9012875536480687,0.9145,0.9138679978978231,0.9140877852751277
recall,0.9797979797979798,0.978448275862069,0.9072164948453608,0.88,0.9575757575757575,0.8421052631578947,0.9388888888888889,0.9310344827586207,0.8282828282828283,0.8974358974358975,0.9145,0.9140785868605297,0.9145
f1-score,0.9724310776942355,0.9517819706498952,0.9072164948453608,0.8878923766816144,0.9294117647058823,0.8571428571428571,0.9441340782122906,0.9310344827586207,0.856396866840731,0.8993576017130621,0.9145,0.913679957124455,0.914007658794515
support,198.0,232.0,194.0,225.0,165.0,171.0,180.0,203.0,198.0,234.0,0.9145,2000.0,2000.0
