,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9414634146341463,0.961864406779661,0.917098445595855,0.9213973799126638,0.9226190476190477,0.9125,0.9277777777777778,0.9095238095238095,0.8620689655172413,0.9444444444444444,0.923,0.9220757691804649,0.9231932193796388
recall,0.9747474747474747,0.978448275862069,0.9123711340206185,0.9377777777777778,0.9393939393939394,0.8538011695906432,0.9277777777777778,0.9408866995073891,0.8838383838383839,0.8717948717948718,0.923,0.9220837504310946,0.923
f1-score,0.9578163771712158,0.9700854700854701,0.9147286821705426,0.9295154185022027,0.9309309309309309,0.8821752265861027,0.9277777777777778,0.9249394673123487,0.8728179551122195,0.9066666666666667,0.923,0.9217453972315477,0.9227510197851322
support,198.0,232.0,194.0,225.0,165.0,171.0,180.0,203.0,198.0,234.0,0.923,2000.0,2000.0
